simulator,obstacles,agents,timestep,interval,rate,delay_type,map_seed,agent_seed,value,value_lower,value_upper,execution_time,first_agent_arriving,average_timestep_time,average_timestep_time_lower,average_timestep_time_upper
replan,90,20,1,1,0.1,agent,3,1,21.755000000000003,21.690905547055674,21.81909445294433,0.04720792,7.8,0.0060489096626984125,0.0058201684083032095,0.0062776509170936155
replan,90,20,1,1,0.1,agent,3,2,22.435,22.32566240380085,22.544337596199146,0.01831165,4.3,0.004249432,0.0041522600248671505,0.00434660397513285
replan,90,20,1,1,0.1,agent,3,3,27.865,27.731115880417534,27.998884119582463,0.03894404,7.8,0.004978144761904762,0.004866077341582506,0.0050902121822270175
replan,90,20,1,1,0.1,agent,3,4,25.830000000000002,25.58438255387458,26.075617446125424,0.015942849999999998,3.3,0.004778500000000001,0.00444780581336055,0.005109194186639451
replan,90,20,1,1,0.1,agent,3,5,21.669999999999998,21.510753847319894,21.829246152680103,0.040563680000000005,6.3,0.006408303809523809,0.0056880768760185435,0.007128530743029074
replan,90,20,1,1,0.1,agent,3,6,26.28,26.06197582182514,26.498024178174862,0.050808229999999996,9.9,0.005121684666666666,0.004939055840113626,0.005304313493219706
replan,90,20,1,1,0.1,agent,3,7,24.885,24.655632930278728,25.114367069721276,0.01217123,3.1,0.0039185025,0.0038014417835011863,0.0040355632164988135
replan,90,20,1,1,0.1,agent,3,8,23.95,23.799189522483932,24.100810477516067,0.02783092,5.0,0.005566184,0.00540505266091417,0.00572731533908583
replan,90,20,1,1,0.1,agent,3,9,25.535,25.33760959345665,25.73239040654335,0.03423597999999999,5.5,0.006217969238095239,0.005972060351211626,0.006463878124978852
replan,90,20,1,1,0.1,agent,4,0,21.755000000000003,21.595530844616217,21.914469155383788,0.006738809,2.1,0.0031650695,0.002928636543620507,0.003401502456379493
replan,90,20,1,1,0.1,agent,4,1,20.485,20.32859092093695,20.64140907906305,0.02335808,5.0,0.004671616,0.0044598512381110724,0.0048833807618889275
replan,90,20,1,1,0.1,agent,4,2,23.279999999999998,23.04202508048058,23.517974919519414,0.02826573,5.5,0.005130452666666666,0.00495415996418213,0.0053067453691512025
replan,90,20,1,1,0.1,agent,4,3,30.765000000000004,30.589733502777282,30.940266497222726,0.052228430000000006,10.1,0.0051630033376623375,0.005034031554716119,0.005291975120608556
replan,90,20,1,1,0.1,agent,4,4,28.869999999999997,28.692197069262658,29.047802930737337,0.08924107,15.0,0.005948677642507004,0.005832959510821888,0.0060643957741921195
replan,90,20,1,1,0.1,agent,4,5,24.43,24.208098383785806,24.651901616214193,0.01595135,3.1,0.0051370650000000006,0.004927110657541316,0.005347019342458685
replan,90,20,1,1,0.1,agent,4,6,22.229999999999997,22.056240411284012,22.40375958871598,0.03367283,6.4,0.0052578890476190476,0.0051038572113333335,0.005411920883904762
replan,90,20,1,1,0.1,agent,4,7,24.53,24.34209111330305,24.717908886696954,0.012372959999999999,3.1,0.003978420000000001,0.003836269198746173,0.0041205708012538285
replan,90,20,1,1,0.1,agent,4,8,23.345000000000002,23.035723595442615,23.65427640455739,0.02069868,4.5,0.004567488333333334,0.004323318333476814,0.004811658333189853
replan,90,20,1,1,0.1,agent,4,9,21.765000000000004,21.557087914926854,21.972912085073155,0.01948338,4.2,0.004627606,0.004442917376669276,0.004812294623330725
replan,90,20,1,1,0.1,agent,5,0,18.645000000000003,18.478552436089682,18.811447563910324,0.02086917,4.5,0.004619406166666667,0.004479253822665226,0.004759558510668108
replan,90,20,1,1,0.1,agent,5,1,24.03,23.760116654993464,24.29988334500654,0.04687526000000001,9.3,0.005038413777777778,0.004944841528220503,0.005131986027335053
replan,90,20,1,1,0.1,agent,5,2,24.220000000000002,24.07574128408415,24.364258715915856,0.025906280000000004,5.6,0.004624005333333333,0.004575558300173094,0.004672452366493571
replan,90,20,1,1,0.1,agent,5,3,28.195,28.017797688918623,28.372202311081377,0.05293348,10.1,0.005237548362193362,0.004952450750838681,0.005522645973548043
replan,90,20,1,1,0.1,agent,5,4,26.419999999999998,26.200675725757407,26.63932427424259,0.0354289,5.3,0.0067172483333333335,0.0054389247799877015,0.007995571886678966
replan,90,20,1,1,0.1,agent,5,5,21.215,20.946251455290525,21.483748544709474,0.01721663,3.1,0.0055395275,0.005370424479431805,0.0057086305205681954
replan,90,20,1,1,0.1,agent,5,6,21.375000000000007,21.169702399884088,21.580297600115927,0.03239416999999999,6.6,0.004900223273809523,0.0048062002357039035,0.004994246311915143
replan,90,20,1,1,0.1,agent,5,7,21.95,21.75121028013631,22.14878971986369,0.006876738,2.1,0.0032348706666666662,0.0030165308283518675,0.003453210504981465
replan,90,20,1,1,0.1,agent,5,8,23.8,23.5250033901524,24.074996609847602,0.01689435,3.3,0.005073976666666666,0.004804015271374483,0.00534393806195885
replan,90,20,1,1,0.1,agent,5,9,22.964999999999996,22.725922580116293,23.2040774198837,0.022397789999999997,4.3,0.005194794500000001,0.005045258726861961,0.00534433027313804
replan,90,20,1,1,0.1,agent,6,0,21.495,21.32770060061887,21.662299399381133,0.01399786,3.2,0.0043523575,0.004163200672953112,0.004541514327046888
replan,90,20,1,1,0.1,agent,6,1,23.544999999999998,23.33545346788046,23.754546532119537,0.06605738,8.8,0.007509680305555555,0.0063992982087423475,0.008620062402368763
replan,90,20,1,1,0.1,agent,6,2,24.189999999999998,23.89322505833865,24.486774941661345,0.042466279999999995,6.7,0.006329044107142858,0.005949722340460083,0.0067083658738256325
replan,90,20,1,1,0.1,agent,6,3,27.905,27.664499840536216,28.145500159463786,0.03317931,6.3,0.005257563035714286,0.005107575150859624,0.005407550920568949
replan,90,20,1,1,0.1,agent,6,4,28.060000000000002,27.71207202442948,28.407927975570523,0.054286579999999994,9.0,0.0060355169166666665,0.0057507462910738084,0.0063202875422595246
replan,90,20,1,1,0.1,agent,6,5,20.139999999999997,19.995151266423704,20.28484873357629,0.029648229999999998,6.3,0.004705718749999999,0.004617750814492144,0.004793686685507854
