simulator,agents,timestep,interval,rate,delay_type,value,time,feasibility,cycle,execution_time,first_agent_arriving,cycle_count,cycle_agents,unblocked_agents,feasibility_count,feasibility_type_a,feasibility_type_b,feasibility_type_c,average_timestep_time,average_feasibility_time,average_cycle_time,obstacles
online,20,1,30,0.1,agent,75.60612244897959,1.949362938877551,heuristic,proposed,1.1888716139795918,5.285714285714286,5.285714285714286,43.039795918367346,104.46938775510205,5.589795918367347,0.6493000726975997,0.3506999273024003,0,0.21449511838497953,0.21090015982749102,0.21449511838497953,180.0
default,20,1,30,0.1,agent,84.11428571428571,0.00023777686530612244,heuristic,proposed,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,30,0.1,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,30,0.1,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,30,0.1,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,30,0.2,agent,105.43265306122449,2.4097214959183675,heuristic,proposed,1.2939456467346937,5.705102040816326,5.705102040816326,41.5969387755102,111.28877551020408,6.540816326530612,0.49644696400671173,0.5035530359932883,0,0.21757029571469214,0.20937884789158262,0.21757029571469214,180.0
default,20,1,30,0.2,agent,119.38163265306123,0.00026477697346938777,heuristic,proposed,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,30,0.2,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,30,0.2,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,30,0.2,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,30,0.3,agent,139.24693877551022,2.9831482244897964,heuristic,proposed,1.4337282415306123,6.292857142857143,6.2877551020408164,40.75,121.68877551020408,7.490816326530612,0.43090363186330355,0.5690963681366964,0,0.2199009791708349,0.20890417383819945,0.21998247540156052,180.0
default,20,1,30,0.3,agent,158.6908163265306,0.0002921611448979591,heuristic,proposed,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,30,0.3,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,30,0.3,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,20,1,30,0.3,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,180.0
